********************* March 16 Observing Session - beginning 03:37:43 GMT *********************
Camera model: UI326xCP-M
----------------------------------------------------
Exposure: 700.009406 milliseconds
Pixel clock: 30
Frame rate achieved (desired is 10): 1.428580
Trigger delay (microseconds): 0
Current trigger mode setting: 4104
Current trigger timeout: 500
Auto shutter: 0.0
Auto frame rate (should be disabled): 0.0
----------------------------------------------------
Sensor ID/type: 550
Sensor color mode (from is_GetSensorInfo and is_SetColorMode): 1 | 11
Maximum image width and height: 1936, 1216
Pixel size (micrometers): 5.86
Gain settings: 0 for master gain, 125 for red gain, 125 for green gain, and 125 for blue gain.
Auto gain (should be disabled): 0
Gain boost (should be disabled): 0
Hardware gamma (should be disabled): 0
----------------------------------------------------
Auto black level (should be off): 0
Black level offset (desired is 50): 50

C time|GMT|Blob #|RA (deg)|DEC (deg)|FR (deg)|PS|ALT (deg)|AZ (deg)|IR (deg)|Astrom. solve time (msec)|Camera time (msec)
1615866221|Mar 16 03:43:41||0.315136
1615866222|Mar 16 03:43:42||0.290816
1615866224|Mar 16 03:43:44||0.329728
1615866225|Mar 16 03:43:45||0.280576
1615866227|Mar 16 03:43:47||0.322048
1615866228|Mar 16 03:43:48||0.291584
1615866229|Mar 16 03:43:49||0.338688
1615866231|Mar 16 03:43:51||0.331520
1615866232|Mar 16 03:43:52||0.321536
1615866234|Mar 16 03:43:54||0.332288
1615866235|Mar 16 03:43:55||0.369152
1615866237|Mar 16 03:43:57||0.269056
1615866238|Mar 16 03:43:58||0.277248
1615866239|Mar 16 03:43:59||0.298240
1615866241|Mar 16 03:44:01||0.290816
1615866242|Mar 16 03:44:02||0.312320
1615866243|Mar 16 03:44:03||0.308992
1615866244|Mar 16 03:44:04||1589.965312
1615866246|Mar 16 03:44:06||1088.120320
1615866248|Mar 16 03:44:08||46.747392
1615866248|Mar 16 03:44:08||0.307456
1615866249|Mar 16 03:44:09||0.295168
1615866249|Mar 16 03:44:09||0.308480
1615866250|Mar 16 03:44:10||0.481280
1615866251|Mar 16 03:44:11||0.268032
1615866251|Mar 16 03:44:11||0.299520
1615866252|Mar 16 03:44:12||0.317952
1615866252|Mar 16 03:44:12||0.294144
1615866253|Mar 16 03:44:13||0.346368
1615866254|Mar 16 03:44:14||0.317952
1615866254|Mar 16 03:44:14||0.369920
1615866255|Mar 16 03:44:15||0.307712
1615866256|Mar 16 03:44:16||0.311040
1615866256|Mar 16 03:44:16||0.288768
1615866257|Mar 16 03:44:17||0.316416
1615866257|Mar 16 03:44:17||0.290560
1615866258|Mar 16 03:44:18||0.311040
1615866259|Mar 16 03:44:19||0.293888
1615866259|Mar 16 03:44:19||0.283904
1615866260|Mar 16 03:44:20||0.283648
1615866260|Mar 16 03:44:20||0.269824
1615866261|Mar 16 03:44:21||0.321536
1615866262|Mar 16 03:44:22||0.355328
1615866262|Mar 16 03:44:22||0.292096
1615866263|Mar 16 03:44:23||0.292352
1615866263|Mar 16 03:44:23||0.322560
1615866264|Mar 16 03:44:24||0.287488
1615866265|Mar 16 03:44:25||0.292352
1615866265|Mar 16 03:44:25||0.303616
1615866266|Mar 16 03:44:26||0.311808
1615866266|Mar 16 03:44:26||0.333824
1615866267|Mar 16 03:44:27||0.289792
1615866268|Mar 16 03:44:28||0.287232
1615866268|Mar 16 03:44:28||0.290048
1615866269|Mar 16 03:44:29||0.297472
1615866269|Mar 16 03:44:29||0.306176
1615866270|Mar 16 03:44:30||0.317952
1615866271|Mar 16 03:44:31||0.307712
1615866271|Mar 16 03:44:31||0.326912
1615866272|Mar 16 03:44:32||0.310528
1615866272|Mar 16 03:44:32||0.312832
1615866273|Mar 16 03:44:33||0.331008
1615866274|Mar 16 03:44:34||0.282112
1615866274|Mar 16 03:44:34||0.375552
1615866275|Mar 16 03:44:35||0.313600
1615866275|Mar 16 03:44:35||0.281344
1615866276|Mar 16 03:44:36||0.291584
1615866277|Mar 16 03:44:37||0.309504
1615866277|Mar 16 03:44:37||0.264704
1615866278|Mar 16 03:44:38||0.269568
1615866278|Mar 16 03:44:38||0.298496
1615866279|Mar 16 03:44:39||0.357888
1615866280|Mar 16 03:44:40||0.312576
1615866280|Mar 16 03:44:40||0.265984
1615866281|Mar 16 03:44:41||0.267264
1615866281|Mar 16 03:44:41||0.264448
1615866282|Mar 16 03:44:42||0.303872
1615866283|Mar 16 03:44:43||0.322816
1615866283|Mar 16 03:44:43||0.290816
1615866284|Mar 16 03:44:44||0.279040
1615866285|Mar 16 03:44:45||0.305408
1615866285|Mar 16 03:44:45||0.308480
1615866286|Mar 16 03:44:46||0.304896
1615866286|Mar 16 03:44:46||0.307200
1615866287|Mar 16 03:44:47||0.302848
1615866288|Mar 16 03:44:48||0.291584
1615866288|Mar 16 03:44:48||0.300288
1615866289|Mar 16 03:44:49||0.304896
1615866289|Mar 16 03:44:49||0.296192
1615866290|Mar 16 03:44:50||0.314368
1615866291|Mar 16 03:44:51||0.288000
1615866291|Mar 16 03:44:51||0.270080
1615866292|Mar 16 03:44:52||0.295168
1615866292|Mar 16 03:44:52||0.312832
1615866293|Mar 16 03:44:53||0.292352
1615866294|Mar 16 03:44:54||0.279808
1615866294|Mar 16 03:44:54||0.315904
1615866295|Mar 16 03:44:55||0.319232
1615866295|Mar 16 03:44:55||0.275456
1615866296|Mar 16 03:44:56||0.308736
1615866297|Mar 16 03:44:57||0.304896
1615866297|Mar 16 03:44:57||0.309248
1615866298|Mar 16 03:44:58||0.317952
1615866298|Mar 16 03:44:58||0.303872
1615866299|Mar 16 03:44:59||0.320768
1615866300|Mar 16 03:45:00||0.281088
1615866300|Mar 16 03:45:00||0.324096
1615866301|Mar 16 03:45:01||0.287488
1615866301|Mar 16 03:45:01||0.280064
1615866302|Mar 16 03:45:02||0.290048
1615866303|Mar 16 03:45:03||0.267520
1615866303|Mar 16 03:45:03||0.303104
1615866304|Mar 16 03:45:04||0.303872
1615866304|Mar 16 03:45:04||0.264960
1615866305|Mar 16 03:45:05||0.301568
1615866306|Mar 16 03:45:06||0.263168
1615866306|Mar 16 03:45:06||0.291584
1615866307|Mar 16 03:45:07||0.368384
1615866307|Mar 16 03:45:07||0.286208
1615866308|Mar 16 03:45:08||0.266496
1615866308|Mar 16 03:45:08||0.284416
1615866309|Mar 16 03:45:09||0.305664
1615866310|Mar 16 03:45:10||0.288256
1615866310|Mar 16 03:45:10||0.287488
1615866311|Mar 16 03:45:11||0.283136
1615866311|Mar 16 03:45:11||0.278016
1615866312|Mar 16 03:45:12||0.270848
1615866313|Mar 16 03:45:13||0.292096
1615866313|Mar 16 03:45:13||0.289024
1615866314|Mar 16 03:45:14||0.328192
1615866314|Mar 16 03:45:14||0.296192
1615866315|Mar 16 03:45:15||0.329728
1615866316|Mar 16 03:45:16||0.307968
1615866316|Mar 16 03:45:16||0.294656
1615866317|Mar 16 03:45:17||0.296448
1615866317|Mar 16 03:45:17||0.636672
1615866318|Mar 16 03:45:18||0.279808
1615866319|Mar 16 03:45:19||0.274432
1615866319|Mar 16 03:45:19||0.544000
1615866320|Mar 16 03:45:20||0.310272
1615866320|Mar 16 03:45:20||0.307712
1615866321|Mar 16 03:45:21||0.295168
1615866322|Mar 16 03:45:22||0.304128
1615866322|Mar 16 03:45:22||0.284672
1615866323|Mar 16 03:45:23||0.290304
1615866323|Mar 16 03:45:23||0.297728
1615866324|Mar 16 03:45:24||0.332288
1615866325|Mar 16 03:45:25||0.290048
1615866325|Mar 16 03:45:25||0.322304
1615866326|Mar 16 03:45:26||0.300800
1615866326|Mar 16 03:45:26||0.294144
1615866327|Mar 16 03:45:27||0.310016
1615866328|Mar 16 03:45:28||0.299008
1615866328|Mar 16 03:45:28||0.316928
1615866329|Mar 16 03:45:29||0.356864
1615866329|Mar 16 03:45:29||0.296192
1615866330|Mar 16 03:45:30||0.443648
1615866331|Mar 16 03:45:31||0.443904
1615866331|Mar 16 03:45:31||0.308992
1615866332|Mar 16 03:45:32||0.285184
1615866332|Mar 16 03:45:32||0.305920
1615866333|Mar 16 03:45:33||0.309504
1615866334|Mar 16 03:45:34||0.303616
1615866334|Mar 16 03:45:34||0.341760
1615866335|Mar 16 03:45:35||0.289792
1615866335|Mar 16 03:45:35||0.551424
1615866336|Mar 16 03:45:36||0.359168
1615866337|Mar 16 03:45:37||0.315392
1615866337|Mar 16 03:45:37||0.275712
1615866338|Mar 16 03:45:38||0.306432
1615866338|Mar 16 03:45:38||0.310016
1615866339|Mar 16 03:45:39||0.302336
1615866340|Mar 16 03:45:40||0.276736
1615866340|Mar 16 03:45:40||0.281088
1615866341|Mar 16 03:45:41||0.304128
1615866341|Mar 16 03:45:41||0.585216
1615866342|Mar 16 03:45:42||0.288256
1615866343|Mar 16 03:45:43||1.185024
1615866343|Mar 16 03:45:43||0.302848
1615866344|Mar 16 03:45:44||0.289280
1615866344|Mar 16 03:45:44||0.318976
1615866345|Mar 16 03:45:45||0.351232
1615866346|Mar 16 03:45:46||0.451328
1615866346|Mar 16 03:45:46||0.275712
1615866347|Mar 16 03:45:47||0.307200
1615866347|Mar 16 03:45:47||0.302592
1615866348|Mar 16 03:45:48||0.320512
1615866349|Mar 16 03:45:49||0.351744
1615866349|Mar 16 03:45:49||0.317184
1615866350|Mar 16 03:45:50||0.332032
1615866350|Mar 16 03:45:50||0.306944
1615866351|Mar 16 03:45:51||0.311040
1615866351|Mar 16 03:45:51||0.313088
1615866352|Mar 16 03:45:52||0.298752
1615866353|Mar 16 03:45:53||0.291840
1615866353|Mar 16 03:45:53||0.290304
1615866354|Mar 16 03:45:54||0.337408
1615866354|Mar 16 03:45:54||0.322816
1615866355|Mar 16 03:45:55||0.291328
1615866356|Mar 16 03:45:56||0.478208
1615866356|Mar 16 03:45:56||2.514176
1615866357|Mar 16 03:45:57||0.447232
1615866357|Mar 16 03:45:57||0.342016
1615866358|Mar 16 03:45:58||0.265472
1615866359|Mar 16 03:45:59||0.337664
1615866359|Mar 16 03:45:59||0.512768
1615866360|Mar 16 03:46:00||0.379392
1615866360|Mar 16 03:46:00||0.382720
1615866361|Mar 16 03:46:01||0.324608
1615866362|Mar 16 03:46:02||0.303104
1615866362|Mar 16 03:46:02||0.338688
1615866363|Mar 16 03:46:03||0.402432
1615866363|Mar 16 03:46:03||0.324096
1615866364|Mar 16 03:46:04||0.309504
1615866365|Mar 16 03:46:05||0.301056
1615866365|Mar 16 03:46:05||0.295936
1615866366|Mar 16 03:46:06||0.555008
1615866366|Mar 16 03:46:06||0.318208
1615866367|Mar 16 03:46:07||0.288512
1615866368|Mar 16 03:46:08||0.312320
1615866368|Mar 16 03:46:08||0.302336
1615866369|Mar 16 03:46:09||0.325632
1615866369|Mar 16 03:46:09||0.322560
1615866370|Mar 16 03:46:10||0.315136
1615866371|Mar 16 03:46:11||0.626688
1615866371|Mar 16 03:46:11||0.345088
1615866372|Mar 16 03:46:12||0.309504
1615866372|Mar 16 03:46:12||0.784640
1615866373|Mar 16 03:46:13||0.345344
1615866374|Mar 16 03:46:14||0.359168
1615866374|Mar 16 03:46:14||0.384512
1615866375|Mar 16 03:46:15||0.318208
1615866376|Mar 16 03:46:16||0.320000
1615866376|Mar 16 03:46:16||0.420096
1615866377|Mar 16 03:46:17||0.368896
1615866377|Mar 16 03:46:17||0.296192
1615866378|Mar 16 03:46:18||0.449792
1615866379|Mar 16 03:46:19||0.331008
1615866379|Mar 16 03:46:19||0.315648
1615866380|Mar 16 03:46:20||0.439040
1615866380|Mar 16 03:46:20||0.343552
1615866381|Mar 16 03:46:21||0.465408
1615866382|Mar 16 03:46:22||0.442112
1615866382|Mar 16 03:46:22||0.326144
1615866383|Mar 16 03:46:23||0.329728
1615866383|Mar 16 03:46:23||0.334592
1615866384|Mar 16 03:46:24||0.342272
1615866385|Mar 16 03:46:25||0.346112
1615866385|Mar 16 03:46:25||0.361216
1615866386|Mar 16 03:46:26||0.324608
1615866386|Mar 16 03:46:26||0.338944
1615866387|Mar 16 03:46:27||0.449280
1615866388|Mar 16 03:46:28||0.337408
1615866388|Mar 16 03:46:28||0.332544
1615866389|Mar 16 03:46:29||0.309504
1615866389|Mar 16 03:46:29||0.337152
1615866390|Mar 16 03:46:30||0.411136
1615866391|Mar 16 03:46:31||0.323328
1615866391|Mar 16 03:46:31||0.340992
1615866392|Mar 16 03:46:32||0.315136
1615866392|Mar 16 03:46:32||0.328448
1615866393|Mar 16 03:46:33||0.301312
1615866394|Mar 16 03:46:34||0.328448
1615866394|Mar 16 03:46:34||0.313600
1615866395|Mar 16 03:46:35||0.647424
1615866395|Mar 16 03:46:35||0.331776
1615866396|Mar 16 03:46:36||0.506880
1615866397|Mar 16 03:46:37||0.477696
1615866397|Mar 16 03:46:37||0.334336
1615866398|Mar 16 03:46:38||0.346624
1615866398|Mar 16 03:46:38||0.337408
1615866399|Mar 16 03:46:39||0.420864
1615866400|Mar 16 03:46:40||0.310784
1615866400|Mar 16 03:46:40||0.365568
1615866401|Mar 16 03:46:41||0.329472
1615866401|Mar 16 03:46:41||0.313344
1615866402|Mar 16 03:46:42||0.340992
1615866403|Mar 16 03:46:43||0.324608
1615866403|Mar 16 03:46:43||0.318720
1615866404|Mar 16 03:46:44||0.328192
1615866404|Mar 16 03:46:44||0.295424
1615866405|Mar 16 03:46:45||0.305408
1615866406|Mar 16 03:46:46||0.302848
1615866406|Mar 16 03:46:46||0.368896
1615866407|Mar 16 03:46:47||0.349696
1615866407|Mar 16 03:46:47||0.393472
1615866408|Mar 16 03:46:48||0.345856
1615866409|Mar 16 03:46:49||0.334592
1615866409|Mar 16 03:46:49||0.322816
1615866410|Mar 16 03:46:50||0.324864
1615866410|Mar 16 03:46:50||0.314368
1615866411|Mar 16 03:46:51||0.312576
1615866412|Mar 16 03:46:52||0.334080
1615866412|Mar 16 03:46:52||0.355584
1615866413|Mar 16 03:46:53||0.336896
1615866413|Mar 16 03:46:53||0.333312
1615866414|Mar 16 03:46:54||0.335360
1615866415|Mar 16 03:46:55||0.317952
