********************* February 18 Observing Session - beginning 21:12:39 GMT *********************
Camera model: UI326xCP-M
----------------------------------------------------
Exposure: 700.009406 milliseconds
Pixel clock: 30
Frame rate achieved (desired is 10): 1.428580
Trigger delay (microseconds): 0
Current trigger mode setting: 4104
Current trigger timeout: 500
Auto shutter: 0.0
Auto frame rate (should be disabled): 0.0
----------------------------------------------------
Sensor ID/type: 550
Sensor color mode (from is_GetSensorInfo and is_SetColorMode): 1 | 11
Maximum image width and height: 1936, 1216
Pixel size (micrometers): 5.86
Gain settings: 0 for master gain, 125 for red gain, 125 for green gain, and 125 for blue gain.
Auto gain (should be disabled): 0
Gain boost (should be disabled): 0
Hardware gamma (should be disabled): 0
----------------------------------------------------
Auto black level (should be off): 0
Black level offset (desired is 50): 50

C time|GMT|Blob #|Observed RA (deg)|Astrometry RA (deg)|Observed DEC (deg)| Astrometry DEC (deg)|FR (deg)|PS|ALT (deg)|AZ (deg)|IR (deg)|Astrom. solve time (msec)|Camera time (msec)
1645219000|Feb 18 21:16:40||0.285696
1645219001|Feb 18 21:16:41||0.272384
1645219003|Feb 18 21:16:43||0.292352
1645219004|Feb 18 21:16:44||0.291584
1645219005|Feb 18 21:16:45||0.288768
1645219007|Feb 18 21:16:47||0.328448
1645219008|Feb 18 21:16:48||0.305664
1645219010|Feb 18 21:16:50||0.284416
1645219011|Feb 18 21:16:51||0.291840
1645219012|Feb 18 21:16:52||0.291072
1645219014|Feb 18 21:16:54||0.434432
1645219015|Feb 18 21:16:55||0.262656
1645219016|Feb 18 21:16:56||0.271360
1645219018|Feb 18 21:16:58||0.278272
1645219019|Feb 18 21:16:59||0.292864
1645219021|Feb 18 21:17:01||0.289536
1645219022|Feb 18 21:17:02||0.272128
1645219023|Feb 18 21:17:03||0.300288
1645219025|Feb 18 21:17:05||0.267008
1645219026|Feb 18 21:17:06||0.297984
1645219028|Feb 18 21:17:08||0.296448
1645219029|Feb 18 21:17:09||0.306432
1645219030|Feb 18 21:17:10||0.288256
1645219032|Feb 18 21:17:12||0.307968
1645219033|Feb 18 21:17:13||0.304128
1645219035|Feb 18 21:17:15||0.289536
1645219036|Feb 18 21:17:16||0.284160
1645219037|Feb 18 21:17:17||0.301056
1645219039|Feb 18 21:17:19||0.286464
1645219040|Feb 18 21:17:20||0.284928
1645219041|Feb 18 21:17:21||0.283392
1645219043|Feb 18 21:17:23||0.290048
1645219044|Feb 18 21:17:24||0.264448
1645219046|Feb 18 21:17:26||0.270080
1645219047|Feb 18 21:17:27||0.262400
1645219048|Feb 18 21:17:28||0.301056
1645219050|Feb 18 21:17:30||0.320512
1645219051|Feb 18 21:17:31||0.297472
1645219053|Feb 18 21:17:33||0.292864
1645219054|Feb 18 21:17:34||0.301824
1645219055|Feb 18 21:17:35||0.301056
1645219057|Feb 18 21:17:37||0.302848
1645219058|Feb 18 21:17:38||0.325120
1645219060|Feb 18 21:17:40||0.302080
1645219061|Feb 18 21:17:41||0.276992
1645219062|Feb 18 21:17:42||0.275456
1645219064|Feb 18 21:17:44||0.272384
1645219065|Feb 18 21:17:45||0.285440
1645219066|Feb 18 21:17:46||0.284928
1645219068|Feb 18 21:17:48||0.270336
1645219069|Feb 18 21:17:49||0.311296
1645219071|Feb 18 21:17:51||0.297984
1645219072|Feb 18 21:17:52||0.329728
1645219073|Feb 18 21:17:53||0.270592
1645219075|Feb 18 21:17:55||0.262912
1645219076|Feb 18 21:17:56||0.275968
1645219078|Feb 18 21:17:58||0.287744
1645219079|Feb 18 21:17:59||0.280832
1645219080|Feb 18 21:18:00||0.279040
1645219082|Feb 18 21:18:02||0.286720
1645219083|Feb 18 21:18:03||0.305664
1645219085|Feb 18 21:18:05||0.288000
1645219086|Feb 18 21:18:06||0.298496
1645219087|Feb 18 21:18:07||0.273408
1645219089|Feb 18 21:18:09||0.349440
1645219090|Feb 18 21:18:10||0.272896
1645219091|Feb 18 21:18:11||0.306176
1645219093|Feb 18 21:18:13||0.277248
1645219094|Feb 18 21:18:14||0.271616
1645219096|Feb 18 21:18:16||0.267008
1645219097|Feb 18 21:18:17||0.287488
1645219098|Feb 18 21:18:18||0.288768
1645219100|Feb 18 21:18:20||0.271360
1645219101|Feb 18 21:18:21||0.286208
1645219103|Feb 18 21:18:23||0.272896
1645219104|Feb 18 21:18:24||0.306944
1645219105|Feb 18 21:18:25||0.282880
1645219107|Feb 18 21:18:27||19.680768
1645219108|Feb 18 21:18:28||0.270592
1645219110|Feb 18 21:18:30||0.273152
1645219111|Feb 18 21:18:31||0.269056
1645219112|Feb 18 21:18:32||0.264960
1645219114|Feb 18 21:18:34||0.304640
1645219115|Feb 18 21:18:35||0.308736
1645219116|Feb 18 21:18:36||0.282112
1645219118|Feb 18 21:18:38||0.308736
1645219119|Feb 18 21:18:39||0.304128
1645219121|Feb 18 21:18:41||0.270592
1645219122|Feb 18 21:18:42||0.270336
1645219123|Feb 18 21:18:43||0.289792
1645219125|Feb 18 21:18:45||0.285440
1645219126|Feb 18 21:18:46||0.290304
1645219128|Feb 18 21:18:48||0.285696
1645219129|Feb 18 21:18:49||0.269824
1645219130|Feb 18 21:18:50||0.276992
1645219132|Feb 18 21:18:52||0.270592
1645219133|Feb 18 21:18:53||0.328960
1645219135|Feb 18 21:18:55||0.281600
1645219136|Feb 18 21:18:56||0.288512
1645219137|Feb 18 21:18:57||0.291584
1645219139|Feb 18 21:18:59||0.260608
1645219140|Feb 18 21:19:00||0.263680
1645219141|Feb 18 21:19:01||0.414976
1645219143|Feb 18 21:19:03||0.274176
1645219144|Feb 18 21:19:04||0.267520
1645219146|Feb 18 21:19:06||0.285184
1645219147|Feb 18 21:19:07||0.297472
1645219148|Feb 18 21:19:08||0.291840
1645219150|Feb 18 21:19:10||0.283904
1645219151|Feb 18 21:19:11||0.299008
1645219153|Feb 18 21:19:13||0.289536
1645219154|Feb 18 21:19:14||0.285952
1645219155|Feb 18 21:19:15||0.290560
1645219157|Feb 18 21:19:17||0.288768
1645219158|Feb 18 21:19:18||0.297472
1645219159|Feb 18 21:19:19||0.271104
1645219161|Feb 18 21:19:21||0.354560
1645219162|Feb 18 21:19:22||0.290816
1645219164|Feb 18 21:19:24||0.300544
1645219165|Feb 18 21:19:25||0.272896
1645219166|Feb 18 21:19:26||0.299008
1645219168|Feb 18 21:19:28||0.290560
1645219169|Feb 18 21:19:29||0.308224
1645219171|Feb 18 21:19:31||0.325120
1645219172|Feb 18 21:19:32||0.299264
1645219173|Feb 18 21:19:33||0.292864
1645219175|Feb 18 21:19:35||0.345344
1645219176|Feb 18 21:19:36||0.313856
1645219178|Feb 18 21:19:38||0.343808
1645219179|Feb 18 21:19:39||0.296960
1645219180|Feb 18 21:19:40||0.291840
1645219182|Feb 18 21:19:42||0.327936
1645219183|Feb 18 21:19:43||0.328960
1645219184|Feb 18 21:19:44||0.302592
1645219186|Feb 18 21:19:46||0.309760
1645219187|Feb 18 21:19:47||0.324608
1645219189|Feb 18 21:19:49||3.961344
1645219190|Feb 18 21:19:50||0.294400
1645219191|Feb 18 21:19:51||0.282368
1645219193|Feb 18 21:19:53||0.299264
1645219194|Feb 18 21:19:54||0.289792
1645219196|Feb 18 21:19:56||0.287744
1645219197|Feb 18 21:19:57||0.429312
1645219198|Feb 18 21:19:58||0.321280
1645219200|Feb 18 21:20:00||0.294144
1645219201|Feb 18 21:20:01||0.399616
1645219203|Feb 18 21:20:03||0.263424
1645219204|Feb 18 21:20:04||0.292864
1645219205|Feb 18 21:20:05||0.286720
1645219207|Feb 18 21:20:07||0.297728
1645219208|Feb 18 21:20:08||0.303104
1645219209|Feb 18 21:20:09||0.269824
1645219211|Feb 18 21:20:11||0.271104
1645219212|Feb 18 21:20:12||0.265728
1645219214|Feb 18 21:20:14||0.273152
1645219215|Feb 18 21:20:15||0.284928
1645219216|Feb 18 21:20:16||0.288768
1645219218|Feb 18 21:20:18||0.270592
1645219219|Feb 18 21:20:19||0.303104
1645219221|Feb 18 21:20:21||0.316928
1645219222|Feb 18 21:20:22||0.289792
1645219223|Feb 18 21:20:23||0.283392
1645219225|Feb 18 21:20:25||0.309248
1645219226|Feb 18 21:20:26||0.385536
1645219227|Feb 18 21:20:27||0.299520
1645219229|Feb 18 21:20:29||0.285440
1645219230|Feb 18 21:20:30||0.294912
1645219232|Feb 18 21:20:32||0.310528
1645219233|Feb 18 21:20:33||0.289280
1645219234|Feb 18 21:20:34||0.311808
1645219236|Feb 18 21:20:36||0.285952
1645219237|Feb 18 21:20:37||0.288256
1645219239|Feb 18 21:20:39||0.272384
1645219240|Feb 18 21:20:40||0.284928
1645219241|Feb 18 21:20:41||0.280064
1645219243|Feb 18 21:20:43||0.266240
1645219244|Feb 18 21:20:44||0.281344
1645219245|Feb 18 21:20:45||0.292608
1645219247|Feb 18 21:20:47||0.281600
1645219248|Feb 18 21:20:48||0.272128
1645219250|Feb 18 21:20:50||0.339712
1645219251|Feb 18 21:20:51||0.280832
1645219252|Feb 18 21:20:52||0.284160
1645219254|Feb 18 21:20:54||0.283136
1645219255|Feb 18 21:20:55||7.490304
1645219257|Feb 18 21:20:57||0.310528
1645219258|Feb 18 21:20:58||0.281600
