********************* April 27 Observing Session - beginning 00:30:06 GMT *********************
Camera model: UI326xCP-M
----------------------------------------------------
Exposure: 700.009406 milliseconds
Pixel clock: 30
Frame rate achieved (desired is 10): 1.428580
Trigger delay (microseconds): 0
Current trigger mode setting: 4104
Current trigger timeout: 500
Auto shutter: 0.0
Auto frame rate (should be disabled): 0.0
----------------------------------------------------
Sensor ID/type: 550
Sensor color mode (from is_GetSensorInfo and is_SetColorMode): 1 | 11
Maximum image width and height: 1936, 1216
Pixel size (micrometers): 5.86
Gain settings: 0 for master gain, 125 for red gain, 125 for green gain, and 125 for blue gain.
Auto gain (should be disabled): 0
Gain boost (should be disabled): 0
Hardware gamma (should be disabled): 0
----------------------------------------------------
Auto black level (should be off): 0
Black level offset (desired is 50): 50

C time|GMT|Blob #|Observed RA (deg)|Astrometry RA (deg)|Observed DEC (deg)| Astrometry DEC (deg)|FR (deg)|PS|ALT (deg)|AZ (deg)|IR (deg)|Astrom. solve time (msec)|Camera time (msec)
1619483922|Apr 27 00:38:42|7|205.763636|205.759759|1.530787|1.637942|84.318687|6.218646|26.187556032473381|111.942373918559312|-129.626831|64.292864|64.710912
1619483923|Apr 27 00:38:43|8|205.770418|205.766543|1.532845|1.639994|84.399481|6.234609|26.187152424541317|111.938702986231291|-129.709175|42.685184|43.218176
1619483925|Apr 27 00:38:45||693.409792
1619483927|Apr 27 00:38:47|8|205.783950|205.780074|1.531160|1.638297|84.236994|6.218157|26.188227472954893|111.942530008858583|-129.545084|100.015872|100.491008
1619483929|Apr 27 00:38:49||691.010048
1619483931|Apr 27 00:38:51||693.879296
1619483933|Apr 27 00:38:53|7|205.808969|205.805095|1.531991|1.639107|84.335278|6.232214|26.188846939692773|111.941909802063890|-129.643643|62.718208|63.160064
1619483934|Apr 27 00:38:54|8|205.815926|205.812054|1.533621|1.640730|84.343600|6.239018|26.188018384119886|111.938441327413670|-129.653421|115.289600|115.847424
1619483936|Apr 27 00:38:56|7|205.822579|205.818705|1.531851|1.638955|84.391104|6.227815|26.187984464363048|111.941178142648155|-129.699763|23.374080|23.867904
1619483937|Apr 27 00:38:57|9|205.828020|205.824145|1.531228|1.638327|84.326974|6.225423|26.186648586686559|111.940682712274381|-129.635817|23.971072|24.757248
