********************* June 01 Observing Session - beginning 02:19:51 GMT *********************
Camera model: UI326xCP-M
----------------------------------------------------
Exposure: 700.009406 milliseconds
Pixel clock: 30
Frame rate achieved (desired is 10): 1.428580
Trigger delay (microseconds): 0
Current trigger mode setting: 4104
Current trigger timeout: 500
Auto shutter: 0.0
Auto frame rate (should be disabled): 0.0
----------------------------------------------------
Sensor ID/type: 550
Sensor color mode (from is_GetSensorInfo and is_SetColorMode): 1 | 11
Maximum image width and height: 1936, 1216
Pixel size (micrometers): 5.86
Gain settings: 0 for master gain, 125 for red gain, 125 for green gain, and 125 for blue gain.
Auto gain (should be disabled): 0
Gain boost (should be disabled): 0
Hardware gamma (should be disabled): 0
----------------------------------------------------
Auto black level (should be off): 0
Black level offset (desired is 50): 50
C time|GMT|Blob #|Observed RA (deg)|Astrometry RA (deg)|Observed DEC (deg)| Astrometry DEC (deg)|FR (deg)|PS|ALT (deg)|AZ (deg)|IR (deg)|Astrom. solve time (msec)|Camera time (msec)
1622518414|Jun 01 03:33:34||1639.010304
1622518417|Jun 01 03:33:37||1703.537152
1622518420|Jun 01 03:33:40||1405.276672
1622518423|Jun 01 03:33:43||1765.237760
1622518426|Jun 01 03:33:46||1404.274432
1622518429|Jun 01 03:33:49||1842.490624
1622518432|Jun 01 03:33:52||1260.425984
1622518435|Jun 01 03:33:55||1837.752320
1622518438|Jun 01 03:33:58||1379.833344
1622518441|Jun 01 03:34:01||1735.188736
1622518444|Jun 01 03:34:04||1600.462080
1622518447|Jun 01 03:34:07||1321.494784
1622518450|Jun 01 03:34:10||1636.028160
1622518453|Jun 01 03:34:13||1589.770496
1622518456|Jun 01 03:34:16||1748.587008
1622518459|Jun 01 03:34:19||1715.344640
1622518462|Jun 01 03:34:22||1393.873920
1622518465|Jun 01 03:34:25||1700.924416
1622518468|Jun 01 03:34:28||1333.995264
1622518471|Jun 01 03:34:31||1551.930624
1622518474|Jun 01 03:34:34||1769.389568
1622518477|Jun 01 03:34:37||1690.454784
1622518480|Jun 01 03:34:40||1325.149952
1622518483|Jun 01 03:34:43||1732.323328
1622518486|Jun 01 03:34:46||1349.137152
1622518489|Jun 01 03:34:49||1705.492224
1622518492|Jun 01 03:34:52||1748.202752
1622518495|Jun 01 03:34:55||1431.107840
1622518498|Jun 01 03:34:58||1725.594368
1622518501|Jun 01 03:35:01||1424.171264
1622518504|Jun 01 03:35:04||1427.860480
1622518507|Jun 01 03:35:07||1930.132736
1622518510|Jun 01 03:35:10||1465.417728
1622518513|Jun 01 03:35:13||1397.846528
1622518516|Jun 01 03:35:16||1751.610880
1622518519|Jun 01 03:35:19||1723.963392
1622518522|Jun 01 03:35:22||1382.014208
1622518525|Jun 01 03:35:25||1412.436992
1622518528|Jun 01 03:35:28||1738.400256
1622518531|Jun 01 03:35:31||1443.641344
1622518534|Jun 01 03:35:34||1875.042048
1622518537|Jun 01 03:35:37||1431.283968
1622518540|Jun 01 03:35:40||1400.641536
1622518543|Jun 01 03:35:43||1823.834624
1622518546|Jun 01 03:35:46|54|286.450011|286.455329|5.051013|5.019247|-99.560816|6.221328|27.324911273013811|107.701995068924617|52.446393|57.901568|58.374144
1622518547|Jun 01 03:35:47|58|286.455818|286.461136|5.050957|5.019179|-99.494546|6.225064|27.323684290594066|107.700798120474602|52.379717|184.799744|185.211904
1622518549|Jun 01 03:35:49|57|286.462814|286.468131|5.050528|5.018737|-99.526483|6.220196|27.324385225505722|107.702189551562228|52.412174|180.950528|181.442048
1622518550|Jun 01 03:35:50|54|286.468982|286.474301|5.051697|5.019894|-99.510488|6.219600|27.323728433525545|107.699707671394719|52.395215|281.749760|282.380032
1622518552|Jun 01 03:35:52|52|286.476111|286.481430|5.051151|5.019334|-99.510488|6.219600|27.324252494379756|107.701093658618561|52.395743|346.980352|347.510272
1622518554|Jun 01 03:35:54|60|286.484044|286.489362|5.050756|5.018923|-99.571281|6.223660|27.324292075094952|107.701742072877650|52.456796|186.738176|187.196672
1622518556|Jun 01 03:35:56|60|286.490803|286.496119|5.049860|5.018014|-99.566356|6.219588|27.324847959669462|107.703699930140445|52.452630|210.923008|211.365120
1622518557|Jun 01 03:35:57|54|286.497640|286.502957|5.050352|5.018492|-99.560816|6.221328|27.323242432748827|107.701265909573166|52.446206|149.930496|150.383104
1622518559|Jun 01 03:35:59|61|286.504338|286.509657|5.051343|5.019471|-99.516041|6.217865|27.325127219092913|107.701713100844145|52.401490|367.711488|368.169984
1622518561|Jun 01 03:36:01|52|286.511643|286.516961|5.050652|5.018766|-99.484107|6.222723|27.325424146535127|107.703084651281586|52.370094|110.939648|111.440640
1622518562|Jun 01 03:36:02|59|286.518743|286.524061|5.050435|5.018534|-99.560816|6.221328|27.323143701692771|107.701034280429695|52.446118|92.214016|92.691200
1622518564|Jun 01 03:36:04|55|286.524990|286.530307|5.050473|5.018560|-99.627185|6.223649|27.324709081376959|107.702612663120703|52.513027|364.924160|365.376512
1622518565|Jun 01 03:36:05|56|286.532319|286.537635|5.049783|5.017856|-99.595309|6.228525|27.321939905158843|107.700777255641853|52.480585|211.316992|211.747584
1622518567|Jun 01 03:36:07|59|286.538572|286.543890|5.050907|5.018967|-99.494546|6.225064|27.324239356393711|107.701455810361793|52.379948|242.754560|243.214080
1622518569|Jun 01 03:36:09|57|286.544813|286.550132|5.051187|5.019235|-99.516041|6.217865|27.325974231467029|107.702838428158515|52.401892|104.377600|104.894208
1622518570|Jun 01 03:36:10|53|286.551288|286.556605|5.050405|5.018441|-99.544913|6.226798|27.323765880580218|107.701730814025524|52.430458|56.860928|57.293824
1622518572|Jun 01 03:36:12|54|286.557977|286.563295|5.050676|5.018698|-99.494546|6.225064|27.325166258659600|107.702779579968805|52.380425|112.007424|112.481280
1622518573|Jun 01 03:36:13|53|286.564388|286.569706|5.050504|5.018513|-99.555272|6.223062|27.323419569771197|107.701217544862800|52.440631|141.940224|142.426880
1622518575|Jun 01 03:36:15|56|286.570922|286.576239|5.050012|5.018009|-99.512956|6.231673|27.324414421421018|107.703013502817839|52.398979|456.368896|456.813824
1622518577|Jun 01 03:36:17|56|286.578863|286.584181|5.050916|5.018898|-99.526483|6.220196|27.325333294836462|107.702584398455798|52.412273|97.242624|97.689856
1622518578|Jun 01 03:36:18|53|286.585288|286.590606|5.051029|5.018997|-99.516041|6.217865|27.323769999961748|107.700777712028753|52.401199|251.909120|252.374016
1622518580|Jun 01 03:36:20|53|286.592174|286.597492|5.050673|5.018628|-99.547925|6.213010|27.324600413859194|107.702192119095471|52.433603|452.249856|452.692736
1622518582|Jun 01 03:36:22|58|286.601200|286.606518|5.050668|5.018605|-99.592683|6.216465|27.324108051372917|107.701685558341637|52.478187|58.064128|58.604288
1622518583|Jun 01 03:36:23|57|286.606607|286.611925|5.050662|5.018589|-99.555272|6.223062|27.323207134678718|107.700752486581749|52.440456|109.897728|110.335488
1622518585|Jun 01 03:36:25|52|286.613452|286.618771|5.051005|5.018919|-99.592683|6.216465|27.324543483764749|107.701622594855507|52.478133|112.231936|112.726016
1622518586|Jun 01 03:36:26|57|286.618667|286.623985|5.050731|5.018634|-99.510488|6.219600|27.323600340797277|107.701057980002531|52.395771|262.210048|263.036160
1622518588|Jun 01 03:36:28|53|286.626193|286.631513|5.051921|5.019809|-99.526483|6.220196|27.325016319601744|107.700709967570546|52.411533|318.185472|318.654464
1622518590|Jun 01 03:36:30|56|286.634326|286.639644|5.050824|5.018696|-99.547925|6.213010|27.324432625755570|107.701785141643299|52.433448|596.180736|596.616192
1622518592|Jun 01 03:36:32|57|286.641893|286.647209|5.049911|5.017768|-99.560930|6.227392|27.324387181122667|107.703140390522222|52.447006|398.349312|398.801920
1622518594|Jun 01 03:36:34|55|286.650251|286.655570|5.051330|5.019172|-99.587152|6.218195|27.325351885795797|107.701968341849593|52.472690|444.328704|444.839680
1622518595|Jun 01 03:36:35|58|286.656672|286.661990|5.050489|5.018318|-99.500108|6.223325|27.323142087362868|107.700950369053558|52.385377|116.613888|117.062144
1622518597|Jun 01 03:36:37|56|286.663509|286.668826|5.050170|5.017986|-99.532032|6.218461|27.324033946888775|107.702371954646438|52.417820|255.417600|255.977472
1622518599|Jun 01 03:36:39|54|286.671108|286.676426|5.050227|5.018028|-99.621658|6.225388|27.324625201616250|107.702903000412718|52.507623|180.476672|180.918528
1622518600|Jun 01 03:36:40|52|286.677713|286.683033|5.051089|5.018877|-99.576820|6.221926|27.323440536502929|107.700339662859406|52.461822|178.185984|178.670848
1622518602|Jun 01 03:36:42|58|286.683671|286.688990|5.051201|5.018977|-99.510488|6.219600|27.325267253203592|107.702078030671146|52.396076|116.782848|117.255424
1622518603|Jun 01 03:36:43|56|286.690586|286.695902|5.049473|5.017235|-99.544913|6.226798|27.322093586003483|107.701414892419749|52.430438|112.089344|112.613120
1622518605|Jun 01 03:36:45|58|286.696415|286.701734|5.050828|5.018579|-99.560816|6.221328|27.324859870855512|107.702225199577640|52.446490|172.737024|173.209344
1622518607|Jun 01 03:36:47|58|286.703294|286.708611|5.049960|5.017698|-99.516041|6.217865|27.325347749260025|107.704068730581113|52.402432|110.422016|111.300352
1622518608|Jun 01 03:36:48|59|286.710679|286.715995|5.049744|5.017467|-99.560816|6.221328|27.322859951713333|107.701799746112101|52.446447|172.361728|172.932864
1622518610|Jun 01 03:36:50|56|286.716843|286.722161|5.050415|5.018126|-99.544913|6.226798|27.324916248665780|107.702918923140189|52.430865|109.789696|110.368512
1622518611|Jun 01 03:36:51|60|286.723981|286.729298|5.049870|5.017567|-99.544913|6.226798|27.322385322864555|107.701109721677199|52.430295|455.840768|456.261632
1622518613|Jun 01 03:36:53|59|286.731286|286.736604|5.050481|5.018164|-99.510488|6.219600|27.323568371734723|107.701407351491369|52.395914|857.291776|857.770240
1622518615|Jun 01 03:36:55|61|286.740125|286.745443|5.050222|5.017887|-99.510488|6.219600|27.323039049147383|107.701253077383953|52.395886|660.116992|660.551424
1622518617|Jun 01 03:36:57|59|286.749874|286.755193|5.051089|5.018735|-99.576820|6.221926|27.322612911255931|107.699475853676034|52.461525|140.886528|141.350656
1622518619|Jun 01 03:36:59|60|286.756033|286.761350|5.049693|5.017328|-99.512956|6.231673|27.323266592293649|107.702302672187088|52.398765|206.785792|207.209216
1622518621|Jun 01 03:37:01|58|286.762730|286.768048|5.050129|5.017750|-99.550463|6.225053|27.324774304545201|107.703209334398409|52.436542|602.567936|603.048192
1622518623|Jun 01 03:37:03|58|286.771070|286.776388|5.050501|5.018106|-99.500108|6.223325|27.325039531312669|107.702915251668671|52.386051|137.791744|138.212864
1622518624|Jun 01 03:37:04|60|286.778112|286.783431|5.050629|5.018220|-99.576820|6.221926|27.323035991668640|107.700624081787296|52.461963|619.749632|620.272896
1622518626|Jun 01 03:37:06|58|286.785936|286.791254|5.050180|5.017756|-99.589768|6.230269|27.323119093925349|107.701400079318873|52.475221|509.991680|510.484480
1622518628|Jun 01 03:37:08|58|286.793493|286.798812|5.051144|5.018705|-99.532032|6.218461|27.324358469169155|107.701215154953545|52.417329|454.386944|454.849536
1622518630|Jun 01 03:37:10|61|286.802340|286.807659|5.050900|5.018444|-99.528899|6.226195|27.323834303443199|107.701041835199831|52.414160|353.507072|354.002176
1622518632|Jun 01 03:37:12|59|286.810083|286.815402|5.051159|5.018688|-99.621658|6.225388|27.324458104696021|107.701296097064116|52.506982|418.689280|419.130112
1622518634|Jun 01 03:37:14|59|286.817807|286.823126|5.051142|5.018655|-99.637490|6.219919|27.324907634227777|107.701792963530394|52.522986|674.087936|674.508800
1622518636|Jun 01 03:37:16|62|286.825223|286.830542|5.050536|5.018035|-99.526483|6.220196|27.325180925794257|107.703009461072313|52.412455|101.458176|101.927680
1622518637|Jun 01 03:37:17|59|286.831880|286.837199|5.051027|5.018513|-99.560816|6.221328|27.323706375400249|107.700712934900181|52.445952|163.239168|163.758592
1622518639|Jun 01 03:37:19|59|286.839012|286.844330|5.050484|5.017956|-99.560816|6.221328|27.324230277521373|107.702095507180601|52.446478|263.749120|264.239360
1622518641|Jun 01 03:37:21|56|286.845580|286.850896|5.049414|5.016873|-99.544913|6.226798|27.324806826235488|107.704342393566634|52.431450|225.901312|226.376704
1622518642|Jun 01 03:37:22|56|286.852427|286.857745|5.050573|5.018018|-99.544913|6.226798|27.323647685439376|107.701350193937216|52.430311|98.318848|98.762240
1622518644|Jun 01 03:37:24|65|286.859134|286.864455|5.051443|5.018876|-99.542385|6.214741|27.325443397398793|107.701889998456494|52.427886|762.696960|763.164160
1622518646|Jun 01 03:37:26|62|286.868768|286.874088|5.051299|5.018713|-99.555272|6.223062|27.324412778343579|107.701034468326739|52.440493|573.165568|573.581568
1622518648|Jun 01 03:37:28|60|286.877077|286.882395|5.050509|5.017907|-99.539360|6.228536|27.323910161295018|107.701721907436820|52.424892|494.860544|495.408896
1622518650|Jun 01 03:37:30|69|286.884639|286.889959|5.051208|5.018591|-99.560816|6.221328|27.324964809359429|107.701750930015891|52.446291|306.858240|307.393536
1622518652|Jun 01 03:37:32|61|286.891413|286.896731|5.050191|5.017561|-99.516041|6.217865|27.325428143802462|107.703797086874587|52.402316|413.837824|414.379776
1622518653|Jun 01 03:37:33|63|286.899616|286.904934|5.050230|5.017584|-99.576820|6.221926|27.322516845130430|107.700693850482565|52.462025|373.986560|374.520576
1622518655|Jun 01 03:37:35|65|286.907056|286.912375|5.050315|5.017654|-99.539360|6.228536|27.323242563991450|107.701322692460408|52.424773|523.000320|523.539200
1622518657|Jun 01 03:37:37|66|286.915299|286.920619|5.051139|5.018462|-99.576820|6.221926|27.323886481596539|107.700728995288259|52.461951|185.998848|186.529280
1622518659|Jun 01 03:37:39|64|286.921542|286.926862|5.051471|5.018782|-99.555272|6.223062|27.325655138916758|107.702067986957587|52.440831|397.489664|397.981952
1622518661|Jun 01 03:37:41|65|286.929399|286.934718|5.050878|5.018173|-99.500108|6.223325|27.325615743730459|107.702938274181122|52.386023|172.322048|172.774656
1622518662|Jun 01 03:37:42|70|286.936241|286.941560|5.050613|5.017895|-99.611172|6.223051|27.323491009234480|107.701123723036247|52.496488|329.409792|329.859328
1622518664|Jun 01 03:37:44|71|286.943206|286.948526|5.051064|5.018332|-99.605641|6.224790|27.324812948106796|107.701813934400050|52.491151|868.550400|869.236736
1622518666|Jun 01 03:37:46|67|286.952380|286.957698|5.050420|5.017671|-99.576820|6.221926|27.323778247657827|107.701720764082481|52.462360|409.852928|410.343936
1622518668|Jun 01 03:37:48|73|286.960212|286.965533|5.051744|5.018979|-99.560816|6.221328|27.325061144627739|107.701029014676365|52.445992|576.302592|576.796928
1622518670|Jun 01 03:37:50|64|286.969054|286.974374|5.051488|5.018706|-99.560816|6.221328|27.324533167963430|107.700869132826028|52.445961|211.841024|212.398592
1622518672|Jun 01 03:37:52|72|286.975644|286.980964|5.051346|5.018551|-99.592683|6.216465|27.325725118361262|107.702333859077001|52.478345|1006.659072|1007.137792
1622518674|Jun 01 03:37:54|66|286.985748|286.991067|5.050822|5.018007|-99.576820|6.221926|27.324092884325381|107.701432121351615|52.462223|169.757696|170.200320
1622518676|Jun 01 03:37:56|70|286.993005|286.998325|5.051261|5.018432|-99.621485|6.219319|27.325193938322514|107.701908923466874|52.507009|164.676096|165.216000
1622518677|Jun 01 03:37:57|70|286.998581|287.003900|5.050745|5.017905|-99.516041|6.217865|27.323822115496149|107.701268033106302|52.401394|1308.839936|1309.373696
1622518680|Jun 01 03:38:00|69|287.011721|287.017040|5.050286|5.017421|-99.569774|6.227404|27.323067613177571|107.701183551307608|52.455142|719.244544|719.705600
1622518682|Jun 01 03:38:02|66|287.020571|287.025889|5.050039|5.017155|-99.569774|6.227404|27.322538921889937|107.701011510031677|52.455107|996.060672|996.634624
1622518685|Jun 01 03:38:05|59|287.029366|287.034683|5.049545|5.016645|-99.495858|6.228070|27.324931970837547|107.704271653988187|52.382357|713.004800|713.440256
1622518687|Jun 01 03:38:07|66|287.038216|287.043533|5.049285|5.016368|-99.495858|6.228070|27.324394913145213|107.704108726049455|52.382326|1199.479040|1199.916544
1622518689|Jun 01 03:38:09|67|287.049378|287.054697|5.050473|5.017534|-99.529746|6.223724|27.323155330203619|107.700988079947194|52.415029|750.291968|751.009792
1622518692|Jun 01 03:38:12|63|287.058222|287.063541|5.050219|5.017262|-99.529746|6.223724|27.325675569599412|107.704013531076555|52.416092|971.622400|972.099328
1622518694|Jun 01 03:38:14||1520.552192
1622518697|Jun 01 03:38:17||1316.586752
1622518700|Jun 01 03:38:20|61|287.091619|287.096939|5.051406|5.018384|-99.493450|6.219799|27.326504021568688|107.703056319953049|52.379355|343.713792|344.157184
1622518701|Jun 01 03:38:21|65|287.100441|287.105760|5.050360|5.017320|-99.529746|6.223724|27.322402121197044|107.700375346649793|52.414829|909.747456|910.201856
1622518704|Jun 01 03:38:24|63|287.110485|287.115802|5.049550|5.016491|-99.569774|6.227404|27.323668778397064|107.702943793575429|52.455817|1174.644992|1175.163648
1622518706|Jun 01 03:38:26||1975.725824
1622518710|Jun 01 03:38:30||1611.769600
1622518713|Jun 01 03:38:33||1611.678208
1622518716|Jun 01 03:38:36|64|287.160365|287.165685|5.051148|5.017992|-99.567268|6.219132|27.324944233539057|107.701821191489415|52.452773|653.930752|654.438912
1622518718|Jun 01 03:38:38|63|287.169202|287.174522|5.050898|5.017725|-99.567268|6.219132|27.324422694134469|107.701659799038552|52.452742|910.409728|910.837248
1622518720|Jun 01 03:38:40||1944.737792
1622518724|Jun 01 03:38:44|66|287.192012|287.197331|5.050087|5.016869|-99.529746|6.223724|27.325518794813192|107.704052460356678|52.416118|1521.359104|1521.801216
1622518727|Jun 01 03:38:47||2047.662080
1622518730|Jun 01 03:38:50|61|287.219574|287.224893|5.050038|5.016766|-99.567477|6.227002|27.323665501419590|107.702190237591168|52.453215|531.133440|531.585024
1622518732|Jun 01 03:38:52|64|287.226622|287.231939|5.049502|5.016217|-99.495858|6.228070|27.324256161047302|107.703630529068931|52.382141|51.345664|51.930880
1622518733|Jun 01 03:38:53|69|287.233793|287.239110|5.049460|5.016160|-99.569774|6.227404|27.322042793787595|107.701381614516009|52.455289|165.645056|166.111744
1622518735|Jun 01 03:38:55||1169.743360
1622518738|Jun 01 03:38:58|65|287.251869|287.257189|5.050927|5.017592|-99.567268|6.219132|27.325095546748734|107.702319102307129|52.452965|96.641280|97.140736
1622518739|Jun 01 03:38:59|70|287.258338|287.263657|5.050121|5.016774|-99.569774|6.227404|27.322874810979137|107.701235811945452|52.455176|1045.664512|1046.188288
1622518742|Jun 01 03:39:02||1554.316288
1622518745|Jun 01 03:39:05||1587.446528
1622518748|Jun 01 03:39:08|63|287.292137|287.297458|5.051248|5.017834|-99.529746|6.223724|27.326417464567399|107.703208640223664|52.415718|1240.398336|1240.872960
1622518750|Jun 01 03:39:10|69|287.305497|287.310815|5.049394|5.015955|-99.573461|6.227152|27.321504010026928|107.700919118926478|52.458823|1697.287680|1697.780480
1622518753|Jun 01 03:39:13|68|287.316860|287.322181|5.051450|5.017988|-99.567268|6.219132|27.323757841061493|107.700118208541724|52.452159|567.855872|568.446208
1622518755|Jun 01 03:39:15|69|287.325418|287.330735|5.049232|5.015754|-99.569774|6.227404|27.322101098307989|107.701792430255537|52.455452|1014.872320|1015.316480
1622518758|Jun 01 03:39:18|66|287.336378|287.341697|5.050598|5.017099|-99.603607|6.223053|27.324180310951583|107.701867281749131|52.489180|301.082112|301.540864
1622518759|Jun 01 03:39:19|62|287.343323|287.348644|5.051203|5.017690|-99.569563|6.219530|27.322571817906947|107.699256828190144|52.454181|543.879680|544.398080
1622518761|Jun 01 03:39:21||2042.414080
1622518765|Jun 01 03:39:25||1187.552000
1622518768|Jun 01 03:39:28||1603.253504
1622518771|Jun 01 03:39:31|64|287.388979|287.394300|5.051423|5.017820|-99.567268|6.219132|27.325992133163865|107.702495308170455|52.452979|904.870144|905.341696
1622518773|Jun 01 03:39:33|64|287.399945|287.405263|5.049672|5.016048|-99.605905|6.223452|27.322895395634021|107.701947711886760|52.491594|641.814016|642.284032
1622518775|Jun 01 03:39:35|63|287.408542|287.413862|5.050615|5.016974|-99.603607|6.223053|27.323361678519689|107.700986078407510|52.488876|542.974208|543.408384
1622518777|Jun 01 03:39:37||1499.851264
1622518780|Jun 01 03:39:40||1484.427008
1622518783|Jun 01 03:39:43||1426.415360
1622518786|Jun 01 03:39:46||1698.981632
1622518789|Jun 01 03:39:49||1444.003072
1622518792|Jun 01 03:39:52||1537.378048
1622518795|Jun 01 03:39:55||1616.522240
1622518798|Jun 01 03:39:58||1537.896448
1622518801|Jun 01 03:40:01||1987.239168
1622518804|Jun 01 03:40:04||1186.654464
1622518807|Jun 01 03:40:07||1649.711360
1622518810|Jun 01 03:40:10||1955.352320
1622518813|Jun 01 03:40:13||1289.643520
1622518816|Jun 01 03:40:16||1568.843520
1622518819|Jun 01 03:40:19||1539.077888
1622518822|Jun 01 03:40:22||1580.015360
1622518825|Jun 01 03:40:25||1570.770432
1622518828|Jun 01 03:40:28||1829.805568
1622518831|Jun 01 03:40:31||1233.726720
1622518834|Jun 01 03:40:34||1697.523968
1622518837|Jun 01 03:40:37||2293.483520
1622518840|Jun 01 03:40:40||2016.451584
1622518844|Jun 01 03:40:44||1657.712896
1622518847|Jun 01 03:40:47||1595.156224
1622518850|Jun 01 03:40:50||1163.578112
1622518853|Jun 01 03:40:53||1602.267392
1622518856|Jun 01 03:40:56||1569.402880
1622518859|Jun 01 03:40:59||1959.451136
1622518862|Jun 01 03:41:02||1330.349568
1622518865|Jun 01 03:41:05||1587.560448
1622518868|Jun 01 03:41:08||1556.568320
1622518871|Jun 01 03:41:11||1658.377728
1622518874|Jun 01 03:41:14||1610.886400
1622518877|Jun 01 03:41:17||2318.327552
1622518881|Jun 01 03:41:21||1641.658112
1622518884|Jun 01 03:41:24|69|287.861327|287.866647|5.050408|5.015885|-99.478762|6.224907|27.325136597104418|107.703160296298250|52.364798|935.799040|936.277760
1622518886|Jun 01 03:41:26||1268.952576
1622518889|Jun 01 03:41:29||1740.125696
1622518892|Jun 01 03:41:32||1694.910976
1622518895|Jun 01 03:41:35||1357.506048
1622518898|Jun 01 03:41:38||1594.232320
1622518901|Jun 01 03:41:41||1708.440832
1622518904|Jun 01 03:41:44|67|287.945537|287.950857|5.050503|5.015817|-99.517531|6.221333|27.324728403732117|107.702586870183751|52.403361|387.154432|387.632640
1622518906|Jun 01 03:41:46||1512.158976
1622518909|Jun 01 03:41:49|57|287.964860|287.970179|5.049629|5.014905|-99.475554|6.225710|27.325277443336276|107.704503237140031|52.362125|989.188096|989.859072
1622518911|Jun 01 03:41:51||1318.796544
1622518914|Jun 01 03:41:54|57|287.987745|287.993065|5.050641|5.015873|-99.517531|6.221333|27.324510648027548|107.702147127595182|52.403197|541.936128|542.398464
1622518916|Jun 01 03:41:56|58|287.996184|288.001505|5.050814|5.016029|-99.530702|6.223906|27.324567784422690|107.701940950853484|52.416280|1318.478848|1318.979584
1622518918|Jun 01 03:41:58|60|288.007138|288.012459|5.050420|5.015613|-99.517531|6.221333|27.322402720210803|107.700283817088305|52.402577|557.007872|557.523456
1622518920|Jun 01 03:42:00|60|288.014645|288.019964|5.049439|5.014618|-99.502134|6.230973|27.322355386505564|107.701740074161421|52.387773|1400.479232|1400.947968
1622518923|Jun 01 03:42:03||2055.199232
1622518927|Jun 01 03:42:07|63|288.041087|288.046407|5.050717|5.015844|-99.460555|6.225784|27.325272060153026|107.702827317144610|52.346447|529.218816|529.693696
1622518929|Jun 01 03:42:09|60|288.050208|288.055529|5.050753|5.015863|-99.540137|6.219361|27.324738654338361|107.702213480728432|52.425815|1237.801728|1238.269952
1622518931|Jun 01 03:42:11||1937.327360
1622518935|Jun 01 03:42:15||1497.719808
1622518938|Jun 01 03:42:18||1523.557888
1622518941|Jun 01 03:42:21|65|288.099840|288.105160|5.050261|5.015274|-99.526259|6.222722|27.324771678444478|107.703004611196633|52.412255|1109.713920|1110.270208
1622518943|Jun 01 03:42:23|64|288.110047|288.115367|5.050273|5.015267|-99.564987|6.219148|27.323429714331503|107.701582182940072|52.450493|1102.615808|1103.108608
1622518946|Jun 01 03:42:26|61|288.121147|288.126467|5.050479|5.015451|-99.556256|6.217758|27.324616406350529|107.702507046095434|52.442060|581.316352|581.790464
1622518948|Jun 01 03:42:28|55|288.128632|288.133952|5.049946|5.014903|-99.517531|6.221333|27.324888977605170|107.703610688999532|52.403766|261.762048|262.243072
1622518949|Jun 01 03:42:29|58|288.136801|288.142121|5.050322|5.015264|-99.506176|6.217568|27.322232434578083|107.700255177031011|52.391221|677.793536|679.018496
1622518951|Jun 01 03:42:31|60|288.144948|288.150267|5.049801|5.014727|-99.551378|6.222520|27.322031066108039|107.700844730328726|52.436675|1399.403264|1400.248320
1622518954|Jun 01 03:42:34|61|288.157142|288.162461|5.049866|5.014768|-99.593011|6.227707|27.322323396060902|107.701051008615551|52.478373|1333.726720|1334.198272
1622518957|Jun 01 03:42:37||1181.602048
1622518960|Jun 01 03:42:40||1559.048960
1622518963|Jun 01 03:42:43|60|288.191409|288.196729|5.049981|5.014816|-99.526259|6.222722|27.324835575936319|107.703501512422065|52.412452|1253.503232|1253.938688
1622518965|Jun 01 03:42:45|61|288.202497|288.207817|5.050165|5.014979|-99.517531|6.221333|27.322966976034962|107.701264745373578|52.402939|1267.242496|1267.690496
1622518968|Jun 01 03:42:48|59|288.213694|288.219013|5.049783|5.014575|-99.531823|6.234296|27.323682849000036|107.702600549095919|52.417726|394.939648|395.400448
1622518970|Jun 01 03:42:50|66|288.221362|288.226681|5.049788|5.014565|-99.526259|6.222722|27.324188995616183|107.703121448327863|52.412340|426.926336|427.405056
1622518972|Jun 01 03:42:52||1579.951104
1622518975|Jun 01 03:42:55|57|288.240975|288.246297|5.051134|5.015873|-99.507336|6.223809|27.326036924027967|107.702986072967548|52.393243|1424.897280|1425.545472
1622518977|Jun 01 03:42:57|60|288.253258|288.258581|5.051731|5.016447|-99.517531|6.221333|27.323577773661178|107.699497392448322|52.402182|1044.722944|1045.188864
1622518980|Jun 01 03:43:00|59|288.263659|288.268977|5.049297|5.013992|-99.541946|6.227061|27.323477915021478|107.703132940910621|52.428078|386.824704|387.356672
1622518982|Jun 01 03:43:02|59|288.271083|288.276404|5.050696|5.015377|-99.530362|6.220384|27.325110534679936|107.702689230451156|52.416208|720.686336|721.102848
1622518984|Jun 01 03:43:04|59|288.280361|288.285680|5.049891|5.014554|-99.548286|6.227375|27.323889481110598|107.702650458123173|52.434196|808.057088|808.521216
1622518986|Jun 01 03:43:06|59|288.289884|288.295205|5.051083|5.015727|-99.556256|6.217758|27.323849337962940|107.700777528762472|52.441408|509.361920|509.806592
1622518988|Jun 01 03:43:08|58|288.297572|288.302893|5.050889|5.015518|-99.550475|6.225542|27.324204582544340|107.701447059666620|52.435876|483.351040|483.802112
1622518990|Jun 01 03:43:10|57|288.304362|288.309685|5.051407|5.016023|-99.510458|6.218957|27.325699996379548|107.702214680555642|52.396074|784.873984|785.328640
1622518992|Jun 01 03:43:12|60|288.315114|288.320432|5.049128|5.013723|-99.536806|6.232047|27.322400797246495|107.702266468525934|52.422656|1821.762560|1822.246912
1622518995|Jun 01 03:43:15||2234.038784
1622518999|Jun 01 03:43:19||1075.010560
1622519002|Jun 01 03:43:22|66|288.354805|288.360125|5.050242|5.014760|-99.597951|6.223353|27.324684548794380|107.702941939621127|52.483927|1584.652288|1585.160704
1622519005|Jun 01 03:43:25|66|288.366533|288.371854|5.050826|5.015321|-99.491606|6.223956|27.325669907918204|107.703075425729068|52.377573|1190.784768|1191.272192
1622519007|Jun 01 03:43:27||1985.308416
